"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 19 13:40:54 CST 2026","Mon Jan 19 13:41:35 CST 2026","41032","","","","","","test_user_switches_tracks_during_playback[serial, prev-\u300a\u4e0d\u80fd\u8aaa\u7684\u79d8\u5bc6\u300b\u96fb\u5f71\u539f\u8072\u5e36, 01]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switches_tracks_during_playback"
"broken","Mon Jan 19 13:42:28 CST 2026","Mon Jan 19 14:19:46 CST 2026","2238592","tests.steps","test_00_listen_to_a_CD","","","","test_user_switches_tracks_during_playback[serial, prev-\u300a\u4e0d\u80fd\u8aaa\u7684\u79d8\u5bc6\u300b\u96fb\u5f71\u539f\u8072\u5e36, 01]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switches_tracks_during_playback"
"broken","Mon Jan 19 14:48:14 CST 2026","Mon Jan 19 14:48:21 CST 2026","7085","tests.steps","test_00_listen_to_a_CD","","","","test_user_change_playback_mode","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
"passed","Mon Jan 19 14:52:50 CST 2026","Mon Jan 19 14:53:03 CST 2026","13283","","","","","","test_user_change_playback_mode[random-25]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
"passed","Fri Jan 16 14:36:42 CST 2026","Fri Jan 16 14:37:10 CST 2026","27741","","","","","","test_user_play_the_cd[remote, play-アナと雪の女王 ザ・ソングス 日本語版]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switches_tracks_during_playback"
"passed","Tue Jan 20 10:39:13 CST 2026","Tue Jan 20 10:59:06 CST 2026","1192815","tests.steps","test_00_listen_to_a_CD","","","","test_user_change_playback_mode[repeat-18]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
"passed","Fri Jan 16 14:30:09 CST 2026","Fri Jan 16 14:30:20 CST 2026","10772","","","","","","test_user_play_the_cd[remote, play-アナと雪の女王 ザ・ソングス 日本語版]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switches_tracks_during_playback"
"passed","Mon Jan 19 10:24:51 CST 2026","Mon Jan 19 10:25:06 CST 2026","15188","","","","","","test_user_insert_a_cd[serial, eject!-\u300a\u4e0d\u80fd\u8aaa\u7684\u79d8\u5bc6\u300b\u96fb\u5f71\u539f\u8072\u5e36]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_insert_a_cd"
"failed","Thu Jan 15 16:23:58 CST 2026","Thu Jan 15 16:25:20 CST 2026","82217","tests.steps","test_00_listen_to_a_CD","","","","test_user_insert_a_cd[remote, eject-アナと雪の女王 ザ・ソングス 日本語版","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_insert_a_cd"
"failed","Tue Jan 20 09:30:00 CST 2026","Tue Jan 20 09:39:38 CST 2026","578688","tests.steps","test_00_listen_to_a_CD","","","","test_user_change_playback_mode[random-18]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
"passed","Mon Jan 19 14:52:35 CST 2026","Mon Jan 19 14:52:47 CST 2026","12021","","","","","","test_user_change_playback_mode[random-25]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
"broken","Fri Jan 16 14:29:11 CST 2026","Fri Jan 16 14:29:17 CST 2026","6699","tests.steps","test_00_listen_to_a_CD","","","","test_user_switches_tracks_during_playback[remote-\u30a2\u30ca\u3068\u96ea\u306e\u5973\u738b \u30b6\u30fb\u30bd\u30f3\u30b0\u30b9 \u65e5\u672c\u8a9e\u7248-remote, next-26]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switches_tracks_during_playback"
"passed","Mon Jan 19 10:26:43 CST 2026","Mon Jan 19 10:26:54 CST 2026","11501","","","","","","test_user_insert_a_cd[serial, eject!-\u300a\u4e0d\u80fd\u8aaa\u7684\u79d8\u5bc6\u300b\u96fb\u5f71\u539f\u8072\u5e36]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_insert_a_cd"
"passed","Mon Jan 19 11:19:29 CST 2026","Mon Jan 19 11:20:02 CST 2026","32143","tests.steps","test_00_listen_to_a_CD","","","","test_user_stop_playback[serial, stop!]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_stop_playback"
"broken","Mon Jan 19 10:21:11 CST 2026","Mon Jan 19 10:21:50 CST 2026","38523","tests.steps","test_00_listen_to_a_CD","","","","test_user_insert_a_cd[serial, eject!-]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_insert_a_cd"
"broken","Mon Jan 19 11:16:51 CST 2026","Mon Jan 19 11:16:56 CST 2026","4969","tests.steps","test_00_listen_to_a_CD","","","","test_user_resume_playback[serial, resume-360]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_resume_playback"
"passed","Fri Jan 16 14:31:00 CST 2026","Fri Jan 16 14:33:20 CST 2026","139235","","","","","","test_user_play_the_cd[remote, play-アナと雪の女王 ザ・ソングス 日本語版]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switches_tracks_during_playback"
"passed","Fri Jan 16 13:04:15 CST 2026","Fri Jan 16 13:11:18 CST 2026","422681","tests.steps","test_00_listen_to_a_CD","","","","test_user_play_the_cd[remote, play-アナと雪の女王 ザ・ソングス 日本語版]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_play_the_cd"
"passed","Fri Jan 16 15:54:40 CST 2026","Fri Jan 16 15:54:57 CST 2026","17533","","","","","","test_user_play_the_cd[remote, play-アナと雪の女王 ザ・ソングス 日本語版]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switches_tracks_during_playback"
"passed","Fri Jan 16 16:21:43 CST 2026","Fri Jan 16 16:25:51 CST 2026","247957","tests.steps","test_00_listen_to_a_CD","","","","test_user_play_the_cd[remote, play-アナと雪の女王 ザ・ソングス 日本語版]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switches_tracks_during_playback"
"passed","Tue Jan 20 09:11:08 CST 2026","Tue Jan 20 09:11:14 CST 2026","6481","","","","","","test_user_change_playback_mode[random-18]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
"passed","Mon Jan 19 15:00:07 CST 2026","Mon Jan 19 15:00:21 CST 2026","14421","","","","","","test_user_change_playback_mode[random-25]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
