"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 23 14:36:55 CST 2025","Tue Dec 23 14:37:32 CST 2025","36963","tests.steps","test_00_play_via_pcusb_input","","","","test_user_control_playback[PCM(Mac)-serial, pause-None]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_pcusb_input.feature: user_control_playback"
"broken","Mon Jan 05 13:56:26 CST 2026","Mon Jan 05 13:56:44 CST 2026","18133","tests.steps","test_03_adjust_led_brightness","","","","test_user_preview_display_brightness[MICHI-High]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/03_adjust_display_brightness.feature: user_preview_display_brightness"
"passed","Thu Dec 18 16:27:22 CST 2025","Thu Dec 18 16:28:24 CST 2025","61302","tests.steps","test_00_listen_to_a_CD","","","","test_user_insert_a_cd[remote-remote-Roy Orbison]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_insert_a_cd"
"passed","Thu Dec 25 16:07:55 CST 2025","Thu Dec 25 16:07:57 CST 2025","2135","","","","","","test_unit_remains_standby_when_playback_continues[MICHI-BLUETOOTH-aptX HD-bt!]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_signal_sense.feature: unit_remains_standby_when_playback_continues"
"passed","Tue Dec 23 14:36:45 CST 2025","Tue Dec 23 14:36:52 CST 2025","6276","","","","","","test_user_control_playback[PCM(Mac)-serial, play-PCM]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_pcusb_input.feature: user_control_playback"
"passed","Thu Dec 25 08:47:39 CST 2025","Thu Dec 25 08:52:34 CST 2025","294749","tests.steps","test_01_name_input","","","","test_user_names_input_from_the_source_menu[MICHI-COAX 3-MEDIA BOX]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/01_name_input.feature: user_names_input_from_the_source_menu"
"passed","Thu Dec 25 14:07:15 CST 2025","Thu Dec 25 14:07:19 CST 2025","3637","","","","","","test_unit_exits_standby_if_audio_signal_is_detected[MICHI-PCM-COAX 2-coax2!]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_signal_sense.feature: unit_exits_standby_if_audio_signal_is_detected"
"broken","Wed Dec 24 16:35:56 CST 2025","Wed Dec 24 16:37:43 CST 2025","107155","tests.steps","test_01_name_input","","","","test_user_names_input_from_the_source_menu[MICHI-ARC-Sony TV]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/01_name_input.feature: user_names_input_from_the_source_menu"
"passed","Mon Dec 22 15:03:30 CST 2025","Mon Dec 22 15:05:13 CST 2025","102944","tests.steps","test_00_play_via_bluetooth_input","","","","test_user_switch_tracks_during_playback[remote, next-aptX HD]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_bluetooth_input.feature: user_switch_tracks_during_playback"
"passed","Wed Dec 24 16:51:22 CST 2025","Wed Dec 24 16:55:33 CST 2025","250802","tests.steps","test_01_name_input","","","","test_user_names_input_from_the_source_menu[MICHI-PHONO-TURNTABLE]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/01_name_input.feature: user_names_input_from_the_source_menu"
"broken","Mon Jan 05 13:56:44 CST 2026","Mon Jan 05 13:57:02 CST 2026","17830","tests.steps","test_03_adjust_led_brightness","","","","test_user_set_display_brightness[MICHI-Medium-dimmer=1$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/03_adjust_display_brightness.feature: user_set_display_brightness"
"broken","Thu Dec 25 11:05:06 CST 2025","Thu Dec 25 11:08:13 CST 2025","187733","tests.steps","test_02_max_volume","","","","test_reset_volume_when_volume_exceeds_limit[MICHI-76-remote, 80-76]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/02_max_volume.feature: reset_volume_when_volume_exceeds_limit"
"passed","Thu Dec 25 08:17:19 CST 2025","Thu Dec 25 08:19:37 CST 2025","137775","tests.steps","test_01_name_input","","","","test_user_names_input_from_the_source_menu[MICHI-AUX-DAC]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/01_name_input.feature: user_names_input_from_the_source_menu"
