"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 02 08:44:44 CST 2026","Thu Apr 02 08:44:49 CST 2026","4737","tests.steps","test_00_control4_integration","","","","test_change_source_via_control4[ip-tuner!, source=tuner$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Change_source_via_Control4"
"passed","Mon Mar 30 15:01:04 CST 2026","Mon Mar 30 15:02:02 CST 2026","57289","tests.steps","test_05_system_update","","","","test_update_get_disrupted_during_download[MICHI-USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_get_disrupted_during_download"
"passed","Wed Mar 18 14:54:43 CST 2026","Wed Mar 18 14:55:17 CST 2026","33326","tests.steps","test_00_play_via_pcusb_input","","","","test_user_switch_tracks_during_playback[Windows-amp_remote, prev-DSD]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_pcusb_input.feature: user_switch_tracks_during_playback"
"passed","Fri Mar 27 10:47:22 CST 2026","Fri Mar 27 10:48:42 CST 2026","79125","","","","","","test_successful_update_via_the_internet[1-10]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: successful_update_via_the_internet"
"passed","Wed Apr 01 16:09:01 CST 2026","Wed Apr 01 16:09:06 CST 2026","5332","tests.steps","test_00_control4_integration","","","","test_change_source_via_control4[serial-aux!, source=aux$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Change_source_via_Control4"
"passed","Thu Apr 02 14:16:53 CST 2026","Thu Apr 02 14:16:59 CST 2026","5320","tests.steps","test_00_control4_integration","","","","test_control_playback_via_control4[ip-speaker_a!-PC-USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Control_playback_via_Control4"
"passed","Fri Mar 27 09:35:05 CST 2026","Fri Mar 27 09:35:08 CST 2026","3014","","","","","","test_user_perform_usb_update_successfully","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: user_perform_usb_update_successfully"
"passed","Fri Mar 27 15:37:56 CST 2026","Fri Mar 27 15:42:57 CST 2026","300876","tests.steps","test_05_system_update","","","","test_successful_update_via_the_internet[1-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: successful_update_via_the_internet"
"passed","Thu Apr 02 14:31:28 CST 2026","Thu Apr 02 14:31:33 CST 2026","5111","tests.steps","test_00_control4_integration","","","","test_query_current_status_via_control4[ip-source?, source=pcusb$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Query_current_status_via_Control4"
"passed","Fri Mar 20 11:05:41 CST 2026","Fri Mar 20 11:06:19 CST 2026","37194","","","","","","test_user_change_system_language[MICHI-Czech]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_language.feature: user_change_system_language"
"failed","Thu Mar 26 10:13:29 CST 2026","Thu Mar 26 10:15:38 CST 2026","128380","tests.steps","test_05_system_update","","","","test_user_check_for_usb_update_when_update_source_is_invalid[MICHI-USB-MBR,NTFS,16GB-No USB Flash Drive Detected]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: user_check_for_usb_update_when_update_source_is_invalid"
"passed","Fri Mar 27 15:42:57 CST 2026","Fri Mar 27 15:48:22 CST 2026","325266","tests.steps","test_05_system_update","","","","test_successful_update_via_the_internet[2-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: successful_update_via_the_internet"
"failed","Wed Mar 18 14:42:49 CST 2026","Wed Mar 18 14:43:26 CST 2026","36282","tests.steps","test_00_play_via_pcusb_input","","","","test_user_switch_tracks_during_playback[Windows-remote, prev-DSD]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_pcusb_input.feature: user_switch_tracks_during_playback"
"passed","Wed Apr 01 15:17:03 CST 2026","Wed Apr 01 15:17:19 CST 2026","16074","","","","","","test_get_system_info_via_control4[ip-power?, power=on$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Get_system_info_via_Control4"
"passed","Thu Apr 02 09:26:19 CST 2026","Thu Apr 02 09:26:24 CST 2026","5024","tests.steps","test_00_control4_integration","","","","test_modify_temporary_tone_control_settings[serial-treble_up!, treble=+01$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Modify_Temporary_Tone_Control_Settings"
"passed","Wed Apr 01 10:27:46 CST 2026","Wed Apr 01 10:28:00 CST 2026","13959","","","","","","test_adjust_display_dimmer_via_control4[serial-dimmer_2!, dimmer=2$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Adjust_display_dimmer_via_Control4"
"passed","Fri Apr 03 13:33:47 CST 2026","Fri Apr 03 13:33:52 CST 2026","5152","tests.steps","test_00_control4_integration","","","","test_modify_temporary_tone_control_settings[serial-bass_down!bass_down!, bass=-01$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Modify_Temporary_Tone_Control_Settings"
"passed","Wed Apr 01 16:09:17 CST 2026","Wed Apr 01 16:09:23 CST 2026","5353","tests.steps","test_00_control4_integration","","","","test_change_source_via_control4[serial-coax2!, source=coax2$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Change_source_via_Control4"
"passed","Thu Apr 02 14:31:49 CST 2026","Thu Apr 02 14:31:53 CST 2026","4698","tests.steps","test_00_control4_integration","","","","test_query_current_status_via_control4[ip-mute?, mute=off$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Query_current_status_via_Control4"
"passed","Mon Mar 30 16:16:18 CST 2026","Mon Mar 30 16:20:31 CST 2026","252638","tests.steps","test_05_system_update","","","","test_update_get_disrupted_during_update[MICHI-USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_get_disrupted_during_update"
"passed","Thu Apr 02 08:45:05 CST 2026","Thu Apr 02 08:45:10 CST 2026","5088","tests.steps","test_00_control4_integration","","","","test_change_source_via_control4[ip-coax2!, source=coax2$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Change_source_via_Control4"
"passed","Thu Apr 02 09:53:02 CST 2026","Thu Apr 02 09:53:06 CST 2026","3947","","","","","","test_modify_temporary_tone_control_settings[serial-bypass_off!, bypass=off$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Modify_Temporary_Tone_Control_Settings"
"passed","Wed Mar 18 15:56:11 CST 2026","Wed Mar 18 15:57:25 CST 2026","73597","tests.steps","test_02_tone_control","","","","test_user_set_temporary_tone[bass, 10-bass=+010$, bass=000$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/02_tone_control.feature: user_set_temporary_tone"
"passed","Wed Apr 01 15:18:37 CST 2026","Wed Apr 01 15:18:43 CST 2026","5454","tests.steps","test_00_control4_integration","","","","test_get_system_info_via_control4[serial-pc_version?, pc_version=3.00-EU$]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_control4_integration.feature: Get_system_info_via_Control4"
