"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 14:34:00 CST 2026","Fri May 22 14:34:25 CST 2026","24710","tests.steps","test_05_language","","","","test_change_system_language_updates_update_menu_labels[German-Checked: USB source is invalid]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_language.feature: Change_system_language_updates_update_menu_labels"
"passed","Wed May 20 15:33:42 CST 2026","Wed May 20 15:35:55 CST 2026","132562","tests.steps","test_05_language","","","","test_change_system_language_updates_setup_menu_labels[French]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_language.feature: Change_system_language_updates_setup_menu_labels"
"passed","Fri May 22 13:25:56 CST 2026","Fri May 22 13:28:46 CST 2026","170052","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MBR,FAT,120MB,repeat 9/10-USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"passed","Thu May 21 09:03:45 CST 2026","Thu May 21 09:05:29 CST 2026","104361","tests.steps","test_05_language","","","","test_change_system_language_updates_setup_menu_labels[Swedish (2)]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_language.feature: Change_system_language_updates_setup_menu_labels"
"passed","Fri May 22 14:50:16 CST 2026","Fri May 22 14:50:41 CST 2026","24891","tests.steps","test_05_language","","","","test_change_system_language_updates_update_menu_labels[Italian-Checked: USB has no file]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_language.feature: Change_system_language_updates_update_menu_labels"
"passed","Thu May 21 09:36:13 CST 2026","Thu May 21 09:37:58 CST 2026","105823","tests.steps","test_05_language","","","","test_change_system_language_updates_setup_menu_labels[Russian (3)]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_language.feature: Change_system_language_updates_setup_menu_labels"
"passed","Fri May 22 14:14:22 CST 2026","Fri May 22 14:15:10 CST 2026","48561","","","","","","test_change_system_language_updates_update_menu_labels[English-Start USB update]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_language.feature: Change_system_language_updates_update_menu_labels"
"passed","Fri May 22 14:07:36 CST 2026","Fri May 22 14:08:10 CST 2026","33994","","","","","","test_change_system_language_updates_update_menu_labels[English-Start USB update]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_language.feature: Change_system_language_updates_update_menu_labels"
"passed","Fri May 22 14:49:27 CST 2026","Fri May 22 14:49:52 CST 2026","25330","tests.steps","test_05_language","","","","test_change_system_language_updates_update_menu_labels[Russian-Checked: USB source is invalid]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_language.feature: Change_system_language_updates_update_menu_labels"
"passed","Thu May 21 16:40:26 CST 2026","Thu May 21 16:43:23 CST 2026","176648","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MBR,FAT,120MB,repeat 1/10-USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
