"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 15 10:18:47 CST 2026","Tue Sep 15 10:19:24 CST 2026","36554","","","","","","test_change_system_language_updates_setup_menu_labels[Chinese]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_change_system_language.feature: Change_system_language_updates_setup_menu_labels"
"passed","Wed Aug 19 14:45:27 CST 2026","Wed Aug 19 14:45:55 CST 2026","27741","tests.steps","test_05_factory_default","","","","test_confirm_reboot","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_factory_default.feature: Confirm_reboot"
"passed","Thu Sep 03 15:00:23 CST 2026","Thu Sep 03 15:00:26 CST 2026","2805","","","","","","test_control_playback_via_control4[play!]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_amplifier_control4_integration.feature: Control_playback_via_Control4"
"passed","Tue Sep 15 13:30:01 CST 2026","Tue Sep 15 13:30:23 CST 2026","22481","","","","","","test_change_system_language_updates_setup_menu_labels[Italian]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_change_system_language.feature: Change_system_language_updates_setup_menu_labels"
"passed","Mon Sep 21 16:45:09 CST 2026","Mon Sep 21 16:45:57 CST 2026","47642","tests.steps","test_05_language","","","","test_change_system_language_updates_update_menu_labels[Polish-Checked: Server has no file]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_change_system_language.feature: Change_system_language_updates_update_menu_labels"
"passed","Mon Sep 21 15:04:28 CST 2026","Mon Sep 21 15:06:01 CST 2026","92485","tests.steps","test_05_system_update","","","","test_check_for_internet_update_when_up_to_date[Internet-This version is the latest software]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_internet_update_when_up_to_date"
"passed","Thu Aug 13 09:11:49 CST 2026","Thu Aug 13 09:11:53 CST 2026","4317","tests.steps","test_00_play_via_analog_input","","","","test_analog_audio_signal_stops","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_analog_input.feature: Analog_audio_signal_stops"
"passed","Mon Sep 14 10:18:52 CST 2026","Mon Sep 14 10:20:13 CST 2026","80922","tests.steps","test_05_system_update","","","","test_update_get_disrupted_during_download[USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_get_disrupted_during_download"
"passed","Mon Sep 21 16:41:44 CST 2026","Mon Sep 21 16:42:31 CST 2026","47512","tests.steps","test_05_language","","","","test_change_system_language_updates_update_menu_labels[Czech-Checked: Server has no file]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_change_system_language.feature: Change_system_language_updates_update_menu_labels"
"passed","Tue Sep 15 14:49:57 CST 2026","Tue Sep 15 14:53:41 CST 2026","223329","tests.steps","test_05_language","","","","test_change_system_language_updates_setup_menu_labels[Polish (2)]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_change_system_language.feature: Change_system_language_updates_setup_menu_labels"
